Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,adhesion_kpa,round,family
0.5187030996297279,0.199302148332591,0.0947683231024417,0.1872264289352382,0.0,0.0,22.363765038924274,round_0,HEA
0.42178707272479,0.4062137461445382,0.1719991811306717,0.0,0.0,0.0,12.569002123142251,round_0,HEA
0.5368643097418104,0.1083752806331327,0.1840671899149181,0.1706932197101386,0.0,0.0,10.927105449398445,round_0,HEA
0.2163563060405009,0.1994740702224794,0.0881418434484952,0.1743027849059083,0.321724995382616,0.0,126.82236376503892,round_0,PEA
0.1198210331268862,0.4100782635726174,0.1918131069994494,0.1871670242778439,0.0911205720232029,0.0,109.27105449398444,round_0,BA
0.2335997204332295,0.2999268066669277,0.4664734728998426,0.0,0.0,0.0,7.19037508846426,round_0,CBEA
0.5083477338623493,0.2224573241900948,0.1015077968756604,0.1676871450718954,0.0,0.0,39.97169143665959,round_0,HEA
0.4279597500148048,0.3820111115391019,0.099708596086374,0.0903205423597192,0.0,0.0,77.5654635527247,round_0,HEA
0.4430339469891841,0.1769155557375863,0.3800504972732295,0.0,0.0,0.0,11.040339702760084,round_0,HEA
0.638621162720913,0.1145141025881511,0.0857278217369902,0.0763537893540844,0.0847831235998611,0.0,76.9992922859165,round_0,HEA
0.5069656195679517,0.3052583981925558,0.1006245288490885,0.0871514533904039,0.0,0.0,44.21797593772117,round_0,HEA
0.3078800999942429,0.2213090350308787,0.3863501569633009,0.0844607080115775,0.0,0.0,103.60934182590232,round_0,CBEA
0.2123454146473781,0.5079801849379997,0.1968071525097028,0.0828672479049194,0.0,0.0,104.74168435951876,round_0,BA
0.2306518816149881,0.4992354183612754,0.1820034881061069,0.0,0.0881092119176296,0.0,21.23142250530785,round_0,BA
0.2341007752800943,0.5044048392812583,0.0969443655310016,0.1645500199076456,0.0,0.0,67.37438075017693,round_0,BA
0.1906361633672215,0.4043636547955581,0.2266512161027418,0.0957277539046315,0.082621211829847,0.0,58.881811748053785,round_0,BA
0.4095235364768618,0.4153046351705805,0.1751718283525576,0.0,0.0,0.0,10.021231422505307,round_0,BA
0.5536943211729035,0.2742545344204269,0.0777456222895211,0.0943055221171485,0.0,0.0,69.63906581740977,round_0,HEA
0.5426729399285165,0.2199915542236243,0.1490508016039145,0.0882847042439445,0.0,0.0,50.389242745930645,round_0,HEA
0.5705274908941438,0.2536266502916755,0.0875824117481282,0.0882634470660523,0.0,0.0,44.78414720452937,round_0,HEA
0.5722976613136135,0.2490081824570476,0.0901286213986644,0.0885655348306745,0.0,0.0,51.23849964614296,round_0,HEA
